Date,Time,PM2.5
01/01/16,1:00 AM,322
01/01/16,2:00 AM,395
01/01/16,3:00 AM,433
01/01/16,4:00 AM,413
01/01/16,5:00 AM,401
01/01/16,6:00 AM,383
01/01/16,7:00 AM,386
01/01/16,8:00 AM,372
01/01/16,9:00 AM,354
01/01/16,10:00 AM,297
01/01/16,11:00 AM,196
01/01/16,12:00 PM,138
01/01/16,1:00 PM,238
01/01/16,2:00 PM,356
01/01/16,3:00 PM,258
01/01/16,4:00 PM,142
01/01/16,5:00 PM,135
01/01/16,6:00 PM,207
01/01/16,7:00 PM,298
01/01/16,8:00 PM,385
01/01/16,9:00 PM,343
01/01/16,10:00 PM,321
01/01/16,11:00 PM,310
01/01/2016 24:00 AM,,300
02/01/16,1:00 AM,290
02/01/16,2:00 AM,277
02/01/16,3:00 AM,236
02/01/16,4:00 AM,213
02/01/16,5:00 AM,201
02/01/16,6:00 AM,212
02/01/16,7:00 AM,215
02/01/16,8:00 AM,237
02/01/16,9:00 AM,252
02/01/16,10:00 AM,308
02/01/16,11:00 AM,238
02/01/16,12:00 PM,217
02/01/16,1:00 PM,181
02/01/16,2:00 PM,161
02/01/16,3:00 PM,172
02/01/16,4:00 PM,152
02/01/16,5:00 PM,158
02/01/16,6:00 PM,156
02/01/16,7:00 PM,194
02/01/16,8:00 PM,273
02/01/16,9:00 PM,344
02/01/16,10:00 PM,338
02/01/16,11:00 PM,343
02/01/2016 24:00 AM,,385
03/01/16,1:00 AM,382
03/01/16,2:00 AM,406
03/01/16,3:00 AM,494
03/01/16,4:00 AM,536
03/01/16,5:00 AM,472
03/01/16,6:00 AM,536
03/01/16,7:00 AM,484
03/01/16,8:00 AM,442
03/01/16,9:00 AM,513
03/01/16,10:00 AM,549
03/01/16,11:00 AM,322
03/01/16,12:00 PM,279
03/01/16,1:00 PM,202
03/01/16,2:00 PM,163
03/01/16,3:00 PM,184
03/01/16,4:00 PM,151
03/01/16,5:00 PM,156
03/01/16,6:00 PM,157
03/01/16,7:00 PM,171
03/01/16,8:00 PM,297
03/01/16,9:00 PM,288
03/01/16,10:00 PM,327
03/01/16,11:00 PM,344
03/01/2016 24:00 AM,,374
04/01/16,1:00 AM,384
04/01/16,2:00 AM,387
04/01/16,3:00 AM,404
04/01/16,4:00 AM,390
04/01/16,5:00 AM,351
04/01/16,6:00 AM,361
04/01/16,7:00 AM,362
04/01/16,8:00 AM,377
04/01/16,9:00 AM,439
04/01/16,10:00 AM,542
04/01/16,11:00 AM,463
04/01/16,12:00 PM,352
04/01/16,1:00 PM,409
04/01/16,2:00 PM,384
04/01/16,3:00 PM,367
04/01/16,4:00 PM,370
04/01/16,5:00 PM,358
04/01/16,6:00 PM,372
04/01/16,7:00 PM,421
04/01/16,8:00 PM,453
04/01/16,9:00 PM,462
04/01/16,10:00 PM,488
04/01/16,11:00 PM,492
